pos0,pos1,neg0,neg1
a moody horror/thriller elevated by deft staging and the director's well-known narrative gamesmanship .,star/producer salma hayek and director julie taymor have infused frida with a visual style unique and inherent to the titular character's paintings and in the process created a masterful work of art of their own .,the average local news columnist has a bigger rant on the war between modern landscape architecture and small-town america .,below is well below expectations .
a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .,graham greene's novel of colonialism and empire is elevated by michael caine's performance as a weary journalist in a changing world .,"it's not without its pleasures , but i'll stick with the tune .",the worst film of the year .
the viewer takes great pleasure in watching the resourceful molly stay a step ahead of her pursuers .,"what's not to like about a movie with a 'children's' song that includes the line 'my stepdad's not mean , he's just adjusting' ?",includes too much obvious padding .,may offend viewers not amused by the sick sense of humor .
"davis is funny , charming and quirky in her feature film acting debut as amy .",imamura has said that warm water under a red bridge is a poem to the enduring strengths of women . it may also be the best sex comedy about environmental pollution ever made .,"this series should have died long ago , but they keep bringing it back another day as punishment for paying money to see the last james bond movie .",troll the cult section of your local video store for the real deal .
tender yet lacerating and darkly funny fable .,"shot in rich , shadowy black-and-white , devils chronicles , with increasingly amused irony , the relationship between reluctant captors and befuddled captives .","director shekhar kapur and screenwriters michael schiffer and hossein amini have tried hard to modernize and reconceptualize things , but the barriers finally prove to be too great .","humorless , self-conscious art drivel , made without a glimmer of intelligence or invention ."
"this isn't a stand up and cheer flick ; it's a sit down and ponder affair . and thanks to kline's superbly nuanced performance , that pondering is highly pleasurable .","the entire cast is first-rate , especially sorvino .",hip-hop prison thriller of stupefying absurdity .,"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here ."
"the movie should jolt you out of your seat a couple of times , give you a few laughs , and leave you feeling like it was worth your seven bucks , even though it does turn out to be a bit of a cheat in the end .","suffers from the lack of a compelling or comprehensible narrative . still , as a visual treat , the film is almost unsurpassed .","hey everybody , wanna watch a movie in which a guy dressed as a children's party clown gets violently gang-raped ? i didn't think so .","if kaufman kept cameron diaz a prisoner in a cage with her ape , in his latest , he'd have them mate ."
"a real story about real people living their lives concerned about the future of an elderly , mentally handicapped family member .","there's an energy to y tu mamá también . much of it comes from the brave , uninhibited performances by its lead actors .",[seems] even more uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels .,"claims to sort the bad guys from the good , which is its essential problem ."
a mess when it comes to the characters and writing . . . but works its way underneath the skin like few movies have in recent memory .,"between the drama of cube ? s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results .","schnitzler's film has a great hook , some clever bits and well-drawn , if standard issue , characters , but is still only partly satisfying .","the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves ."
"as commander-in-chief of this film , bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world .",one of the best inside-show-biz yarns ever .,"while obviously an extremely personal work , it remains inextricably stuck in an emotionally unavailable rut .",director oliver parker labors so hard to whip life into the importance of being earnest that he probably pulled a muscle or two .
"i've never seen or heard anything quite like this film , and i recommend it for its originality alone .","the film's sense of imagery gives it a terrible strength , but it's propelled by the acting .","where last time jokes flowed out of cho's life story , which provided an engrossing dramatic through line , here the comedian hides behind obviously constructed routines .",puts on airs of a hal hartley wannabe film -- without the vital comic ingredient of the hilarious writer-director himself .
"it's up to [watts] to lend credibility to this strange scenario , and her presence succeeds in making us believe .","windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live .",just one bad idea after another .,what can one say about a balding 50-year-old actor playing an innocent boy carved from a log ?
"the trick when watching godard is to catch the pitch of his poetics , savor the pleasure of his sounds and images , and ponder the historical , philosophical , and ethical issues that intersect with them .","we admire this film for its harsh objectivity and refusal to seek our tears , our sympathies .",the story bogs down in a mess of purposeless violence .,a fifty car pileup of cliches .
"in spite of good housekeeping's unsavory characters and wwf mentality , this white trash war of the roses is a surprisingly engaging film .",deepa mehta provides an accessible introduction as well as some intelligent observations on the success of bollywood in the western world .,"a clutchy , indulgent and pretentious travelogue and diatribe against . . . well , just stuff . watching scarlet diva , one is poised for titillation , raw insight or both . instead , we just get messy anger , a movie as personal therapy .",it bites hard .
a thought-provoking and often-funny drama about isolation .,the film is one of the year's best .,"with tiny little jokes and nary an original idea , this sappy ethnic sleeper proves that not only blockbusters pollute the summer movie pool .",a tedious parable about honesty and good sportsmanship .
"the story . . . is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is . it is also a testament to the integrity and vision of the band .",certainly the performances are worthwhile .,kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business .,[newton]wanders through charlie completely unaware she needs to show some presence and star quality .
"koury frighteningly and honestly exposes one teenager's uncomfortable class resentment and , in turn , his self-inflicted retaliation .","if there's one big point to promises , it's that nothing can change while physical and psychological barriers keep the sides from speaking even one word to each other .","there are some laughs in this movie , but williams' anarchy gets tiresome , the satire is weak .",this ludicrous film is predictable at every turn .
"witherspoon puts to rest her valley-girl image , but it's dench who really steals the show .","henry bean's thoughtful screenplay provides no easy answers , but offers a compelling investigation of faith versus intellect",this 100-minute movie only has about 25 minutes of decent material .,"a grating , emaciated flick ."
this is carion's debut feature but his script and direction hums with a confidence that many spend entire careers trying to reach .,noyce has worked wonders with the material .,"it's rare to see a movie that takes such a speedy swan dive from "" promising "" to "" interesting "" to "" familiar "" before landing squarely on "" stupid "" .","the entire film is one big excuse to play one lewd scene after another . about half of them are funny , a few are sexy and none are useful in telling the story , which is paper-thin and decidedly unoriginal ."
the rare movie that's as crisp and to the point as the novel on which it's based .,"the subtle strength of "" elling "" is that it never loses touch with the reality of the grim situation .","when the screenwriter responsible for one of the worst movies of one year directs an equally miserable film the following year , you'd have a hard time believing it was just coincidence .","it's mildly interesting to ponder the peculiar american style of justice that plays out here , but it's so muddled and derivative that few will bother thinking it all through ."
"it is a kickass , dense sci-fi action thriller hybrid that delivers and then some . i haven't seen one in so long , no wonder i didn't recognize it at first .",it all adds up to good fun .,more of a career curio than a major work .,"the documentary does little , apart from raising the topic , to further stoke the conversation ."
the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them . strange occurrences build in the mind of the viewer and take on extreme urgency .,"the film is about the relationships rather than about the outcome . and it sees those relationships , including that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and acumen .",the movie is about as humorous as watching your favorite pet get buried alive .,the plot meanders from gripping to plodding and back .
"hard , endearing , caring , warm . bring tissues .",coral reef adventure is a heavyweight film that fights a good fight on behalf of the world's endangered reefs -- and it lets the pictures do the punching .,a backhanded ode to female camaraderie penned by a man who has little clue about either the nature of women or of friendship .,the plot meanders from gripping to plodding and back .
"children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted .",like a less dizzily gorgeous companion to mr . wong's in the mood for love -- very much a hong kong movie despite its mainland setting .,"it doesn't offer audiences any way of gripping what its point is , or even its attitude toward its subject .","nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them ."
"the graphic carnage and re-creation of war-torn croatia is uncomfortably timely , relevant , and sickeningly real .",a mildly enjoyable if toothless adaptation of a much better book .,"it winds up moving in many directions as it searches ( vainly , i think ) for something fresh to say .","reno does what he can in a thankless situation , the film ricochets from humor to violence and back again , and ryoko hirosue makes us wonder if she is always like that ."
"it strikes hardest when it reminds you how pertinent its dynamics remain . fifty years after the fact , the world's political situation seems little different , and [director phillip] noyce brings out the allegory with remarkable skill .",could this be the first major studio production shot on video tape instead of film ?,"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .",". . . if you , like me , think an action film disguised as a war tribute is disgusting to begin with , then you're in for a painful ride ."
beneath clouds is a succinct low-budget film whose compelling characters and intelligent script are exactly what was missing from rabbit-proof fence .,"you'll be left with the sensation of having just witnessed a great performance and , perhaps , give in to the urge to get on your feet and shake it .","it's coherent , well shot , and tartly acted , but it wears you down like a dinner guest showing off his doctorate .","all the sensuality , all the eroticism of a good vampire tale has been , pardon the pun , sucked out and replaced by goth goofiness ."
"it's often infuriatingly glib and posturing , and yet it has been made with great evident care and manages to deliver up the man in a way to arouse further curiosity in even the most unknowing viewer .","in the disturbingly involving family dysfunctional drama how i killed my father , french director anne fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition","the charms of willful eccentricity , at least as evidenced by this latest cinematic essay , are beginning to wear a bit thin .",the episodic film makes valid points about the depersonalization of modern life . but the characters tend to be cliches whose lives are never fully explored .
"sweet home alabama isn't going to win any academy awards , but this date-night diversion will definitely win some hearts .","the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","unfortunately , kapur modernizes a . e . w . mason's story to suit the sensibilities of a young american , a decision that plucks "" the four feathers "" bare .","plods along , minus the twisted humor and eye-popping visuals that have made miike . . . a cult hero ."
"clint eastwood's blood work is a lot like a well-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same .",puts a refreshing and comical spin on the all-too-familiar saga of the contemporary single woman .,possibly the most irresponsible picture ever released by a major film studio .,what was subtle and mystifying in the novella is now broad and farcical .
a delightful coming-of-age story .,"those who love cinema paradiso will find the new scenes interesting , but few will find the movie improved .","[director] byler may yet have a great movie in him , but charlotte sometimes is only half of one .",these people wouldn't know subtle characterization if it put on a giant furry monster costume and then gave them a lapdance .
"ray liotta and jason patric do some of their best work in their underwritten roles , but don't be fooled : nobody deserves any prizes here .",this is a very fine movie -- go see it .,"this time mr . burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again .",[a] mess .
girls gone wild and gone civil again,'blue crush' swims away with the sleeper movie of the summer award .,"laughably , irredeemably awful .",the movie is virtually without context -- journalistic or historical . what's worse is that pelosi knows it .
horns and halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .,easily one of the best and most exciting movies of the year .,"ultimately the project comes across as clinical , detached , uninvolving , possibly prompting audience members to wonder , 'what's the point ? '","a shambles of a movie--visually unattractive , unbearably loud and utterly silly . . . its hilarity is completely unintentional ."
a well-made and often lovely depiction of the mysteries of friendship .,"droll caper-comedy remake of "" big deal on madonna street "" that's a sly , amusing , laugh-filled little gem in which the ultimate "" bellini "" begins to look like a "" real kaputschnik . ""","a portrait of alienation so perfect , it will certainly succeed in alienating most viewers .","takes one character we don't like and another we don't believe , and puts them into a battle of wills that is impossible to care about and isn't very funny ."
"it's pretty linear and only makeup-deep , but bogdanovich ties it together with efficiency and an affection for the period .","captures that perverse element of the kafkaesque where identity , overnight , is robbed and replaced with a persecuted "" other . """,[siegel] and co-writers lisa bazadona and grace woodard have relied too much on convention in creating the characters who surround frankie .,"without non-stop techno or the existential overtones of a kieslowski morality tale , maelström is just another winter sleepers ."
"like all of egoyan's work , ararat is fiercely intelligent and uncommonly ambitious .",provides an intriguing window into the imagination and hermetic analysis of todd solondz .,the problem with movies about angels is they have a tendency to slip into hokum . a rumor of angels doesn't just slip -- it avalanches into forced fuzziness .,"it's also curious to note that this film , like the similarly ill-timed antitrust , is easily as bad at a fraction the budget ."
"although very much like the first movie based on j . k . rowling's phenomenal fantasy best sellers , this second go-round possesses a quite pleasing , headlong thrust and a likably delinquent attitude .",australian filmmaker david flatman uses the huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them .,"though it pretends to expose the life of male hustlers , it's exploitive without being insightful .",the pool drowned me in boredom .
". . . less a story than an inexplicable nightmare , right down to the population's shrugging acceptance to each new horror .","' . . . the film's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . '",new best friend shouldn't have gone straight to video ; it should have gone straight to a mystery science theater 3000 video .,"the story suffers a severe case of oversimplification , superficiality and silliness ."
like a south-of-the-border melrose place .,toes the fine line between cheese and earnestness remarkably well ; everything is delivered with such conviction that it's hard not to be carried away .,"no big whoop , nothing new to see , zero thrills , too many flashbacks and a choppy ending make for a bad film .","the movie straddles the fence between escapism and social commentary , and on both sides it falls short ."
"despite the film's shortcomings , the stories are quietly moving .","whether you like rap music or loathe it , you can't deny either the tragic loss of two young men in the prime of their talent or the power of this movie .",it's hard to believe these jokers are supposed to have pulled off four similar kidnappings before .,the master of disguise represents adam sandler's latest attempt to dumb down the universe .
for all its serious sense of purpose . . . [it] finds a way to lay bare the tragedies of its setting with a good deal of warmth and humor .,"the journey to the secret's eventual discovery is a separate adventure , and thrill enough .",a movie that feels like the pilot episode of a new teen-targeted action tv series .,"despite a blue-chip cast and a provocative title , writer-director peter mattei's first feature microwaves dull leftover romantic motifs basted in faux-contemporary gravy ."
"insomnia is involving . still , i thought it could have been more .","the two leads , nearly perfect in their roles , bring a heart and reality that buoy the film , and at times , elevate it to a superior crime movie .","while certain cues , like the happy music , suggest that this movie is supposed to warm our hearts , jeong-hyang lee's film is just as likely to blacken that organ with cold vengefulness .",two-bit potboiler .
"on the surface a silly comedy , scotland , pa would be forgettable if it weren't such a clever adaptation of the bard's tragic play .",when it really counts . . . bloody sunday connects on a visceral level that transcends language .,"i believe silberling had the best intentions here , but he just doesn't have the restraint to fully realize them .","mild , meandering teen flick ."
watching beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it .,"bursting through the constraints of its source , this is one adapted- from-television movie that actually looks as if it belongs on the big screen .","despite hoffman's best efforts , wilson remains a silent , lumpish cipher ; his encounters reveal nothing about who he is or who he was before .","yes , 4ever is harmless in the extreme and it'll mute your kids for nearly 80 minutes , but why not just treat the little yard apes to the real deal and take them to spirited away ?"
arteta directs one of the best ensemble casts of the year,"though intrepid in exploring an attraction that crosses sexual identity , ozpetek falls short in showing us antonia's true emotions . . . but at the very least , his secret life will leave you thinking .",enough similarities to gymkata and howie long's firestorm that my fingernails instinctively crawled towards my long-suffering eyeballs .,". . . a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that i can't believe any viewer , young or old , would have a good time here ."
"strange it is , but delightfully so .",a brilliant gag at the expense of those who paid for it and those who pay to see it .,"takes one character we don't like and another we don't believe , and puts them into a battle of wills that is impossible to care about and isn't very funny .",. . . another example of how sandler is losing his touch .
the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,a minor film with major pleasures from portuguese master manoel de oliviera . . .,"the irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted .","before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon ."
"whether [binoche and magimel] are being charming or angst-ridden , they easily fill their scenes and , fine judges both , never overcook the hysteria .",what a great way to spend 4 units of your day .,"shatner is probably the funniest person in the film , which gives you an idea just how bad it was .","if swimfan does catch on , it may be because teens are looking for something to make them laugh ."
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","weird , vulgar comedy that's definitely an acquired taste .",one of those so-so films that could have been much better .,this movie . . . doesn't deserve the energy it takes to describe how bad it is .
this is one of the year's best films .,director nalin pan doesn't do much to weigh any arguments one way or the other . he simply presents his point of view that ayurveda works . no question .,too close to phantom menace for comfort .,"unfunny and lacking any sense of commitment to or affection for its characters , the reginald hudlin comedy relies on toilet humor , ethnic slurs ."
"most thrillers send audiences out talking about specific scary scenes or startling moments ; "" frailty "" leaves us with the terrifying message that the real horror may be waiting for us at home .",marvelously entertaining and deliriously joyous documentary .,"although barbershop boasts some of today's hottest and hippest acts from the world of television , music and stand-up comedy , this movie strangely enough has the outdated swagger of a shameless 70s blaxploitation shuck-and-jive sitcom .","we are left with a superficial snapshot that , however engaging , is insufficiently enlightening and inviting ."
"what i saw , i enjoyed .",not too far below the gloss you can still feel director denis villeneuve's beating heart and the fondness he has for his characters .,"the movie turns out to be [assayas'] homage to the gallic 'tradition of quality , ' in all its fusty squareness .","even as lame horror flicks go , this is lame ."
rarely does such high-profile talent serve such literate material .,". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",the cartoon is about as true to the spirit of the festival of lights as mr . deeds was to that of frank capra .,"if the title is a jeopardy question , then the answer might be "" how does steven seagal come across these days ? "" or maybe "" how will you feel after an 88-minute rip-off of the rock with action confined to slo-mo gun firing and random glass-shattering ?"
"although what time offers tsai's usual style and themes , it has a more colorful , more playful tone than his other films .","escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie .","roger michell , who did an appealing job directing persuasion and notting hill in england , gets too artsy in his american debut .","[w]hile long on amiable monkeys and worthy environmentalism , jane goodall's wild chimpanzees is short on the thrills the oversize medium demands ."
"directed with purpose and finesse by england's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft .",sits uneasily as a horror picture . . . but finds surprising depth in its look at the binds of a small family .,just one bad idea after another .,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes .
the perfect film for those who like sick comedies that can be snide .,it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part .,"an admitted egomaniac , evans is no hollywood villain , and yet this grating showcase almost makes you wish he'd gone the way of don simpson .","muddled , simplistic and more than a little pretentious ."
"whether seen on a 10-inch television screen or at your local multiplex , the edge-of-your-seat , educational antics of steve irwin are priceless entertainment .","with dirty deeds , david caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .","[morgan] , judd and franklin can't save the script , rooted in a novel by joseph finder , from some opportunism .",""" analyze that "" is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original ."
"ramsay is clearly extraordinarily talented , and based on three short films and two features , here's betting her third feature will be something to behold .",a mildly enjoyable if toothless adaptation of a much better book .,it's difficult to say whether the tuxedo is more boring or embarrassing--i'm prepared to call it a draw .,a cleverly crafted but ultimately hollow mockumentary .
"a thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people , seen through the eyes of the idealistic kid who chooses to champion his ultimately losing cause .","in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel . but in imax 3-d , the clichés disappear into the vertiginous perspectives opened up by the photography .",so boring that even its target audience talked all the way through it .,"at times , the suspense is palpable , but by the end there's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential ."
"beautifully shot , delicately scored and powered by a set of heartfelt performances , it's a lyrical endeavour .",may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,traffics in the kind of prechewed racial clichés that have already been through the corporate stand-up-comedy mill .,"showtime is one of the hapless victims of the arrogant "" if we put together a wry white man and a chatty black man and give them guns , the movie will be funny "" syndrome ."
"terrific performances , great to look at , and funny . a little uneven to be the cat's meow , but it's good enough to be the purr .","the story is a rather simplistic one : grief drives her , love drives him , and a second chance to find love in the most unlikely place - it struck a chord in me .","everyone connected to this movie seems to be part of an insider clique , which tends to breed formulaic films rather than fresh ones .","seemingly a vehicle to showcase the canadian's inane ramblings , stealing harvard is a smorgasbord of soliloquies about nothing delivered by the former mr . drew barrymore ."
a wild ride juiced with enough energy and excitement for at least three films .,[fessenden] is much more into ambiguity and creating mood than he is for on screen thrills,"most new movies have a bright sheen . some , like ballistic , arrive stillborn . . . looking like the beaten , well-worn video box cover of seven years into the future .",the film can depress you about life itself .
a tour de force drama about the astonishingly pivotal role of imagination in the soulful development of two rowdy teenagers .,"k-19 will not go down in the annals of cinema as one of the great submarine stories , but it is an engaging and exciting narrative of man confronting the demons of his own fear and paranoia .","a portrait of alienation so perfect , it will certainly succeed in alienating most viewers .","where tom green stages his gags as assaults on america's knee-jerk moral sanctimony , jackass lacks aspirations of social upheaval ."
"leave it to john sayles to take on developers , the chamber of commerce , tourism , historical pageants , and commercialism all in the same movie . . . without neglecting character development for even one minute .","ultimately feels empty and unsatisfying , like swallowing a communion wafer without the wine .","the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .","if we don't demand a standard of quality for the art that we choose , we deserve the trash that we get ."
"with notorious c . h . o . cho proves she has the stuff to stand tall with pryor , carlin and murphy .","a new film from bill plympton , the animation master , is always welcome .","a sour , nasty offering .",gere gives a good performance in a film that doesn't merit it .
warm and exotic .,a charming yet poignant tale of the irrevocable ties that bind .,"in its best moments , resembles a bad high school production of grease , without benefit of song .",these are textbook lives of quiet desperation .
this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes . a rewarding work of art for only the most patient and challenge-hungry moviegoers .,"the whole is quite entertaining , but despite its virtues , there is an unsettled feeling to the film .",exhibits the shallow sensationalism characteristic of soap opera . . . more salacious telenovela than serious drama .,intriguing documentary which is emotionally diluted by focusing on the story's least interesting subject .
offers a breath of the fresh air of true sophistication .,"just what makes us happy , anyway ?","the creaking , rusty ship makes a fine backdrop , but the ghosts' haunting is routine .","kitschy , flashy , overlong soap opera ."
". . . a cute and sometimes side-splittingly funny blend of legally blonde and drop dead gorgeous , starring piper perabo in what could be her breakthrough role .",a savvy exploration of paranoia and insecurity in america's culture of fear .,the tuxedo miscalculates badly by forcing the star to play second fiddle to the dull effects that allow the suit to come to life .,". . . routine , harmless diversion and little else ."
craig bartlett and director tuck tucker should be commended for illustrating the merits of fighting hard for something that really matters .,an elegant and sly deadpan comedy .,"johnson has , in his first film , set himself a task he is not nearly up to .",a major waste . . . generic .
"84 minutes of rolling musical back beat and supercharged cartoon warfare . it's also , clearly , great fun .","though it's not very well shot or composed or edited , the score is too insistent and the dialogue is frequently overwrought and crudely literal , the film shatters you in waves .","a terrible adaptation of a play that only ever walked the delicate tightrope between farcical and loathsome . in the wrong hands , i . e . peploe's , it's simply unbearable","about as enjoyable , i would imagine , as searching for a quarter in a giant pile of elephant feces . . . positively dreadful ."
"k-19 : the widowmaker is derivative , overlong , and bombastic -- yet surprisingly entertaining .",despite its flaws . . . belinsky is still able to create an engaging story that keeps you guessing at almost every turn .,"martin scorsese cria um espetáculo visual que não possui alma - um filme esteticamente belo , mas emocionalmente frio .","to me , it sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy ."
an old-fashioned drama of substance about a teacher's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .,a decided lack of spontaneity in its execution and a dearth of real poignancy in its epiphanies .,"bigelow handles the nuclear crisis sequences evenly but milks drama when she should be building suspense , and drags out too many scenes toward the end that should move quickly .",'christian bale's quinn [is] a leather clad grunge-pirate with a hairdo like gandalf in a wind-tunnel and a simply astounding cor-blimey-luv-a-duck cockney accent . '
"there's very little sense to what's going on here , but the makers serve up the cliches with considerable dash .",k 19 stays afloat as decent drama/action flick,"a timid , soggy near miss .","one of those films where the characters inhabit that special annex of hell where adults behave like kids , children behave like adults and everyone screams at the top of their lungs no matter what the situation ."
the fast runner' transports the viewer into an unusual space,"a movie that will surely be profane , politically charged music to the ears of cho's fans .","it's so crammed with scenes and vistas and pretty moments that it's left a few crucial things out , like character development and coherence .",manages to show life in all of its banality when the intention is quite the opposite .
"a creepy , intermittently powerful study of a self-destructive man . . . about as unsettling to watch as an exploratory medical procedure or an autopsy .",gives an intriguing twist to the french coming-of-age genre .,"if this is satire , it's the smug and self-congratulatory kind that lets the audience completely off the hook .","the creaking , rusty ship makes a fine backdrop , but the ghosts' haunting is routine ."
"films are made of little moments . changing lanes tries for more . it doesn't reach them , but the effort is gratefully received .","baran isn't the most transporting or gripping film from iran -- or , indeed , by its director -- but it's a worthy companion to the many fine , focused films emerging from that most surprising of nations .",life is a crock -- or something like it .,nearly every attempt at humor here is doa .
"thanks to the château's balance of whimsicality , narrative discipline and serious improvisation , almost every relationship and personality in the film yields surprises .",sweet and memorable film .,"a gushy episode of "" m * a * s * h "" only this time from an asian perspective .",one of the most highly-praised disappointments i've had the misfortune to watch in quite some time .
"a minor work yet there's no denying the potency of miller's strange , fleeting brew of hopeful perseverance and hopeless closure .",the movie is pretty funny now and then without in any way demeaning its subjects .,"if the title is a jeopardy question , then the answer might be "" how does steven seagal come across these days ? "" or maybe "" how will you feel after an 88-minute rip-off of the rock with action confined to slo-mo gun firing and random glass-shattering ?",city by the sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for . but how it washed out despite all of that is the project's prime mystery .
"well-written , nicely acted and beautifully shot and scored , the film works on several levels , openly questioning social mores while ensnaring the audience with its emotional pull .","we've seen it all before in one form or another , but director hoffman , with great help from kevin kline , makes us care about this latest reincarnation of the world's greatest teacher .",it concentrates far too much on the awkward interplay and utter lack of chemistry between chan and hewitt .,"if melville is creatively a great whale , this film is canned tuna ."
